term	section	course	instructor	whenWhere
Spring 2013	8068	MATH-120	Zhiv	MW 4:30-6:45pm MA-105
Fall 2015	8097	MATH-120	Zhiv	MW 7:00-9:15pm MA-105
Fall 2018	8106	MATH-120	Zhiv	MW 04:05PM-06:35PM LA-210
Summer 2010	8113	MATH-120	Zhiv	MTWTH 6:00-9:30pm LA-112 6/14-7/22
Summer 2012	8118	MATH-142	Zhiv	MTWTH 6:00-8:50pm MA-240 6/18-7/26
Summer 2011	8120	MATH-191	Zhiv	MTWTH 6:00-9:30pm MA-251 6/13-7/21
Summer 2009	8127	MATH-075	Zhiv	MWMTWTH 5:30-7:00pm LC-205 6/22-7/30
Fall 2009	8188	MATH-120	Zhiv	TTH 7:00-9:15pm MA-244
Spring 2015	8203	MATH-090	Zhiv	TTH 7:00-9:15pm MA-240
Spring 2013	8224	MATH-120	Zhiv	MW 7:00-9:15pm MA-105
Spring 2012	8224	MATH-120	Zhiv	MW 7:00-9:15pm MA-105
Fall 2007	8242	MATH-110	Zhiv	TTH 4:00-6:50pm MA-241 9/04-12/13
Fall 2012	8244	MATH-135	Zhiv	MW 7:00-8:50pm MA-109 8/17-12/17
Fall 2011	8244	MATH-135	Zhiv	MW 7:00-8:50pm MA-109 8/17-12/17
Fall 2015	8247	MATH-142	Zhiv	MW 4:00-5:50pm MA-249
Fall 2013	8248	MATH-142	Zhiv	MW 7:00-8:50pm MA-109
Spring 2015	8264	MATH-182	Zhiv	TTH 4:30-6:20pm MA-108
Spring 2019	8299	MATH-120	Zhiv	MW 04:05PM-06:35PM MA-105 1/28-5/24
Summer 2014	0130	ART-150DC	Zhu	MTWTH 10:30-12:00pm ET-103 6/16-7/24
Fall 2016	1293	ELTRN-107	Zhu	F 9:00-11:50am ET-105
Fall 2013	1773	ARCHI-130	Zhu	TTH 8:00-10:50am ET-122A
Fall 2014	1773	ARCHI-130	Zhu	TTH 8:00-10:50am ET-122A
Fall 2015	1788	ARCHI-130	Zhu	MW 2:00-3:00pm ET-122A
Fall 2016	1788	ARCHI-130	Zhu	MW 2:00-3:00pm ET-122A
Fall 2013	1798	ARCHI-135	Zhu	TTH 11:00-1:50pm ET-124
Fall 2014	1798	ARCHI-135	Zhu	TTH 11:00-1:50pm ET-124
Spring 2018	1863	ARCHI-120	Zhu	MWM 11:00AM-12:00PM ET-120B 1/20-5/25
Spring 2015	1863	ARCHI-120	Zhu	MW 11:00-1:50pm ET-122A
Spring 2019	1863	ARCHI-120	Zhu	MWMW 11:10AM12:15PM-12:1 ETET-122A116 1/28-5/24
Spring 2016	1863	ARCHI-120	Zhu	MW 11:00-12:00pm ET-122A
Spring 2017	1863	ARCHI-120	Zhu	MW 11:00-12:00pm ET-120B
Summer 2017	2151	CONST-150T	Zhu	MTWTHF 8:00-11:35am ET-112 6/12-6/16
Summer 2016	2151	CONST-150T	Zhu	MTWTHF 8:00-11:35am ET-112 6/13-6/17
Summer 2015	2151	CONST-150T	Zhu	MTWTHF 8:00-11:35am ET-112 6/15-6/19
Summer 2018	2153	CONST-101	Zhu	MTWTHF 08:00AM12:05PM-11:3 ETET-112112 6/11-6/15
Fall 2016	2393	ARCHI-207	Zhu	MW 11:00-12:20pm ET-122A
Spring 2016	2940	ELTRN-107	Zhu	F 9:00-11:50am ET-107
Spring 2017	2948	ARCHI-120	Zhu	MW 8:00-9:00am ET-112
Spring 2018	2948	ARCHI-120	Zhu	MWM 08:00AM-09:00AM ET-120B 1/20-5/25
Spring 2019	2954	ARCHI-121	Zhu	MWMW 02:30PM03:35PM-03:3 ETET-122A122A 1/28-5/24
Spring 2017	2954	ARCHI-121	Zhu	MW 2:00-5:50pm ET-122A
Spring 2015	2957	ARCHI-221	Zhu	MW 2:00-5:50pm ET-122A
Fall 2018	3182	ARCHI-120	Zhu	TTHTTH 02:30PM-03:35PM ET-120B
Fall 2017	3182	ARCHI-120	Zhu	TTH 2:00-3:00pm ET-120B
Fall 2017	3184	ARCHI-120	Zhu	TTH 11:00-12:00pm ET-117
Fall 2018	3184	ARCHI-120	Zhu	TTHTTH 11:10AM-12:10PM ET-117
Fall 2016	3184	ARCHI-120	Zhu	TTH 11:00-12:00pm ET-125
Fall 2018	3186	ARCHI-120	Zhu	MWMW 07:55AM-08:55AM ET-120B
Fall 2017	3186	ARCHI-120	Zhu	MW 8:00-9:00am ET-120B
Summer 2014	3845	ARCHI-150N	Zhu	MTWTH 10:30-12:00pm ET-103 6/16-7/24
Summer 2013	3860	ARCHI-150R	Zhu	MTWTH 12:45-2:55pm ET-120A 6/17-7/25
Summer 2013	3861	ENGIN-150R	Zhu	MTWTH 12:45-2:55pm ET-120A 6/17-7/25
Summer 2013	3862	ELTRN-150R	Zhu	MTWTH 12:45-2:55pm ET-120A 6/17-7/25
Fall 2017	3915	ARCHI-299	Zhu	  
Spring 2019	3945	ARCHI-120	Zhu	TTHTTH 02:30PM03:35PM-03:3 ETET-112116 1/28-5/24
Spring 2018	3945	ARCHI-120	Zhu	TTHT 02:00PM-03:00PM ET-112 1/20-5/25
Fall 2015	8514	ELTRN-107	Zhu	F 9:00-11:50am ET-105
Spring 2019	1290	BIOSC-102	Ziehlke	TTHT 11:10AM07:50AM-12:3 SCLHS-501208 1/28-5/24
Spring 2019	1296	BIOSC-102	Ziehlke	TTHTH 11:10AM07:50AM-12:3 SCLHS-501208 1/28-5/24
Spring 2018	1708	BIOSC-130	Ziehlke	TTHM 12:30PM-01:50PM LHS-217 1/20-5/25
Fall 2017	2696	BIOSC-102	Ziehlke	TTHT 11:00-12:20pm SC-501
Fall 2017	2714	BIOSC-102	Ziehlke	TTHT 11:00-12:20pm SC-501
Spring 2018	3706	BIOSC-130	Ziehlke	TTHM 12:30PM-01:50PM LHS-217 1/20-5/25
Spring 2019	3707	BIOSC-130	Ziehlke	MWMW 09:35AM11:10AM-11:0 LHSLHS-202201 1/28-5/24
Fall 2017	4460	BIOSC-130	Ziehlke	MWMW 12:30-1:50pm LHS-114
Fall 2017	6051	BIOSC-102	Ziehlke	TTHT 11:00-12:20pm SC-501
Spring 2018	6708	BIOSC-130	Ziehlke	TTHM 12:30PM-01:50PM LHS-217 1/20-5/25
Summer 2003	2416	MUSLT-113	Zimmerman	MTWTH 10:30-12:35pm M-127 6/16-7/24
Summer 2002	2416	MUSLT-113	Zimmerman	MTWTH 10:30-12:35pm M-127 6/17-7/25
Summer 2003	2417	MUSLT-113	Zimmerman	MTWTH 10:30-12:35pm M-127 6/16-7/24
Summer 2003	2420	MUSLT-113	Zimmerman	MTWTH 1:30-3:35pm M-127 6/16-7/24
Summer 2002	2420	MUSLT-113	Zimmerman	MTWTH 1:45-3:50pm M-127 6/17-7/25
Fall 2003	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-217
Summer 2009	9000	HUMAN-123	Zimmerman	MTWTH 8:15-10:20am SRC-E176 6/22-7/30
Fall 2006	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-217
Fall 2010	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-W212
Fall 2005	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-217
Fall 2007	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRC-W212 8/16-12/16
Fall 2009	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRC-W212
Summer 2010	9000	HUMAN-123	Zimmerman	MTWTH 8:15-10:20am SRV-E176 6/14-7/22
Fall 2008	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRC-W212
Fall 2004	9000	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-217 8/19-12/19
Fall 2004	9004	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-109 8/19-12/19
Fall 2003	9004	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-109
Fall 2002	9004	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-105
Fall 2001	9004	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-105
Spring 2009	9032	MUSLT-117	Zimmerman	MW 9:30-10:45am SRC-W212
Spring 2010	9032	MUSLT-117	Zimmerman	MW 9:30-10:45am SRV-W212
Spring 2011	9032	MUSIC-117	Zimmerman	MW 9:30-10:45am SRV-W212 1/22-5/27
Spring 2008	9032	MUSLT-117	Zimmerman	MW 9:30-10:45am SRC-W212
Spring 2008	9034	MUSLT-117	Zimmerman	W 7:00-9:50pm SRC-W212
Spring 2010	9034	MUSLT-117	Zimmerman	W 6:30-9:20pm SRV-E227
Spring 2011	9034	MUSIC-117	Zimmerman	W 6:30-9:20pm SRV-E227 1/22-5/27
Spring 2009	9034	MUSLT-117	Zimmerman	W 7:00-9:50pm SRC-E227
Spring 2004	9047	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109
Spring 2007	9047	MUSLT-113	Zimmerman	MW 9:30-10:45am SRC-227
Spring 2005	9047	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109
Spring 2006	9047	MUSLT-113	Zimmerman	MW 9:30-10:45am SRC-212
Fall 2007	9090	MUSLT-118	Zimmerman	TH 7:00-9:50pm SRC-W212 8/16-12/16
Fall 2007	9092	MUSLT-117	Zimmerman	TTH 11:00-12:15pm SRC-W212 8/16-12/16
Fall 2010	9092	MUSIC-117	Zimmerman	TTH 11:00-12:15pm SRV-W212
Fall 2009	9092	MUSLT-117	Zimmerman	TTH 11:00-12:15pm SRC-W212
Fall 2008	9092	MUSLT-117	Zimmerman	TTH 11:00-12:15pm SRC-W212
Fall 2008	9098	MUSLT-117	Zimmerman	TH 7:00-9:50pm SRC-W212
Fall 2010	9098	MUSIC-117	Zimmerman	TH 6:30-9:20pm SRV-W212
Fall 2009	9098	MUSLT-117	Zimmerman	TH 7:00-9:50pm SRC-W212
Fall 2006	9110	MUSLT-113	Zimmerman	TH 11:30-3:30pm SRV-109 9/21-12/14
Summer 2010	9155	MUSLT-117	Zimmerman	TTH 5:30-9:45pm SRV-W212 6/15-7/22
Summer 2009	9155	MUSLT-117	Zimmerman	TTH 5:30-9:45pm SRC-W212 6/23-7/30
Summer 2008	9155	MUSLT-117	Zimmerman	TTH 6:15-9:50pm SRC-W212 6/17-7/31
Summer 2008	9156	MUSLT-117	Zimmerman	MTWTHF 8:30-12:05pm SRC-W212 5/27-6/13
Summer 2009	9156	MUSLT-117	Zimmerman	MTWTH 8:15-12:30pm SRC-W212 6/01-6/18
Summer 2007	9158	MUSLT-113	Zimmerman	TTH 6:15-9:50pm WCC 6/19-8/02
Summer 2006	9158	MUSLT-113	Zimmerman	TTH 6:15-9:50pm WCC 6/20-8/03
Summer 2006	9159	MUSLT-113	Zimmerman	MTWTHF 8:30-12:05pm SRV-109 5/30-6/16
Summer 2007	9159	MUSLT-113	Zimmerman	MTWTHF 8:30-12:05pm SRC-212 5/29-6/15
Summer 2002	9159	MUSLT-113	Zimmerman	MTWTHF 8:30-12:10pm SRV-202 5/28-6/14
Summer 2004	9159	MUSLT-113	Zimmerman	MTWTH 8:30-11:50am SRV-109 6/01-6/24
Summer 2003	9159	MUSLT-113	Zimmerman	MTWTH 8:30-11:50am SRV-202 5/27-6/19
Summer 2005	9159	MUSLT-113	Zimmerman	MTWTHF 8:30-12:05pm SRV-109 5/31-6/17
Spring 2010	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRV-W212
Spring 2011	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRV-W212 1/22-5/27
Spring 2006	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRC-212
Spring 2008	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRC-W212
Spring 2004	9291	HUMAN-123	Zimmerman	TTH 9:30-10:45am SRV-217
Spring 2007	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRC-212
Spring 2009	9291	HUMAN-123	Zimmerman	MW 11:00-12:15pm SRC-W212
Fall 2003	9447	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109
Fall 2005	9447	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109
Fall 2006	9447	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109
Fall 2004	9447	MUSLT-113	Zimmerman	MW 9:30-10:45am SRV-109 8/19-12/19
Spring 2004	9725	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-109
Spring 2002	9725	MUSLT-113	Zimmerman	W 4:00-6:50pm SRV-105
Spring 2006	9725	MUSLT-113	Zimmerman	W 6:30-9:45pm SRC-212 1/31-5/23
Spring 2007	9725	MUSLT-113	Zimmerman	W 6:30-9:45pm SRC-227 1/31-5/23
Spring 2005	9725	MUSLT-113	Zimmerman	W 6:30-9:45pm SRV-109 2/01-5/24
Summer 2015	1190	HIST-121	Zimring	MTWTH 8:15-10:20am PL-101 6/15-7/23
Summer 2015	3949	HIST-120	Zimring	MTWTH 10:30-12:35pm PL-101 6/15-7/23
Spring 2016	8145	HIST-120	Zimring	W 7:00-9:50pm LA-119
Spring 2017	8145	HIST-120	Zimring	W 7:00-9:50pm LA-122
Spring 2019	8145	HIST-120	Zimring	W 04:05PM-07:15PM LA-107 1/28-5/24
Spring 2018	8145	HIST-120	Zimring	W 07:00PM-09:50PM LA-122 1/20-5/25
Fall 2018	8180	HIST-120	Zimring	W 04:05PM-07:15PM L-100
Fall 2017	8187	HIST-121	Zimring	W 7:00-9:50pm LA-120
Fall 2016	8187	HIST-121	Zimring	W 7:00-9:50pm LA-120
Fall 2015	8187	HIST-121	Zimring	W 7:00-9:50pm LA-121
Fall 2015	0538	ENGL-116	Zink	MW 12:30-1:50pm H-118
Fall 2018	0610	ENGL-118	Zink	MW 11:10AM-12:35PM H-117
Fall 2017	1192	ENGL-116	Zink	MW 2:00-3:20pm L-201
Fall 2015	1194	ENGL-116	Zink	MW 2:00-3:20pm LA-117
Fall 2014	1844	ENGL-116	Zink	MW 9:30-10:50am H-117
Spring 2015	1958	ENGL-116	Zink	MW 12:30-1:50pm FO-234
Spring 2018	1975	ENGL-118	Zink	MW 11:00AM-12:20PM LA-117 1/20-5/25
Fall 2014	1992	INTD-140	Zink	F 12:30-2:20pm ATC-116 9/05-10/31
Fall 2015	1992	INTD-140	Zink	F 1:00-3:50pm LC-101 9/04-10/09
Fall 2016	1992	INTD-140	Zink	F 1:00-3:50pm LC-101 9/02-10/07
Fall 2018	2199	ENGL-117	Zink	MW 08:00AM-10:30AM LA-212
Fall 2017	2232	ENGL-117	Zink	MW 8:00-10:15am BFL-212
Fall 2016	2234	ENGL-117	Zink	MW 8:00-10:15am H-117
Spring 2018	2304	ENGL-117	Zink	MW 08:00AM-10:15AM H-111 1/20-5/25
Spring 2017	2316	ENGL-117	Zink	MW 8:00-10:15am LA-115
Spring 2019	2316	ENGL-117	Zink	MW 08:00AM-10:30AM LA-115 1/28-5/24
Spring 2015	2345	INTD-140	Zink	F 1:00-2:50pm ATC-116 2/06-3/20
Spring 2015	3496	ENGL-116	Zink	MW 9:30-10:50am LA-213
Fall 2013	3499	ENGL-116	Zink	MW 11:00-12:20pm H-119
Fall 2014	3601	ENGL-116	Zink	MW 8:00-9:20am H-118
Fall 2016	4218	ENGL-116	Zink	MW 12:30-1:50pm BFL-103
Fall 2011	9017	ENGL-116	Zink	T 6:00-8:50pm SRC-W220 8/17-12/17
Fall 2012	9017	ENGL-116	Zink	T 6:00-8:50pm SRC-W220 8/17-12/17
Fall 2010	9023	ENGL-118	Zink	TTH 9:30-10:45am SRV-E232
Fall 2010	9027	ENGL-123	Zink	TTH 11:00-12:15pm SRV-E232
Spring 2013	9110	ENGL-116	Zink	W 6:00-8:50pm SRC-W219
Spring 2011	9182	ENGL-126	Zink	MW 11:00-12:15pm SRV-W222 1/22-5/27
Spring 2011	9331	ENGL-118	Zink	MW 9:30-10:45am SRV-W220 1/22-5/27
Fall 2013	9470	ENGL-118	Zink	M 6:00-8:50pm SRC-E176
Fall 2017N	1192	ENGL-116N	Zink	MWNNNN 2:00-3:20pmN L-201N FullTermN
Fall 2017N	1192	ENGL-116N	Zink	MWNNNN 2:00-3:20pmN L-201N FullTermN
Fall 2017N	1192	ENGL-116N	Zink	MWNNNN 2:00-3:20pmN L-201N FullTermN
Fall 2017N	1192	ENGL-116N	Zink	MWNNNN 2:00-3:20pmN L-201N FullTermN
Fall 2017N	2232	ENGL-117N	Zink	MWNNNN 8:00-10:15amN BFL-212N FullTermN
Fall 2017N	2232	ENGL-117N	Zink	MWNNNN 8:00-10:15amN BFL-212N FullTermN
Fall 2017N	2232	ENGL-117N	Zink	MWNNNN 8:00-10:15amN BFL-212N FullTermN
Fall 2017N	2232	ENGL-117N	Zink	MWNNNN 8:00-10:15amN BFL-212N FullTermN
Fall 2013	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110
Fall 2009	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110
Fall 2006	0467	ESL-072	Zink	MW 12:00-1:50pm LC-110
Fall 2011	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110 8/17-12/17
Fall 2012	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110 8/17-12/17
Fall 2010	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110
Fall 2007	0467	ESL-072	Zink	MW 12:00-1:50pm LC-110 8/16-12/16
Fall 2008	0467	ESL-072	Zink	MW 12:30-2:20pm LC-110
Fall 2004	0467	ESL-072	Zink	MW 12:00-1:50pm LC-110 8/19-12/19
Fall 2005	0467	ESL-072	Zink	MW 12:00-1:50pm LC-110
Fall 2003	0526	ENGL-116	Zink	MWF 9:00-9:50am LA-211
Fall 2005	0651	ENGL-122	Zink	MWF 10:00-10:50am LA-212
Fall 2006	0669	ENGL-122	Zink	TTH 12:30-1:45pm LA-212
Fall 2004	0675	ENGL-122	Zink	MW 2:00-3:15pm H-113 8/19-12/19
Spring 2005	0710	ENGL-123	Zink	TTH 9:30-10:45am H-111
Fall 2003	0710	ENGL-123	Zink	MWF 10:00-10:50am LA-211
Fall 2004	0725	ENGL-126	Zink	TTH 9:30-10:45am LA-114 8/19-12/19
Fall 2001	0727	ENGL-126	Zink	TTH 9:30-10:45am LA-117
Fall 2003	0727	ENGL-126	Zink	TTH 9:30-10:45am LA-117
Fall 2007	0744	ENGL-126	Zink	TTH 11:00-12:15pm LA-115 8/16-12/16
Fall 2001	0901	ENGL-126	Zink	TTH 12:30-1:45pm LA-116
Fall 2005	0901	ENGL-126	Zink	TTH 12:30-1:45pm LA-114
Fall 2003	0904	ENGL-126	Zink	TTH 8:00-9:15am LA-117
Fall 2005	0926	ENGL-122	Zink	MWF 9:00-9:50am LA-212
Fall 2009	1132	ENGL-116	Zink	TTH 9:30-10:45am LA-119
Fall 2013	1138	ENGL-116	Zink	MW 11:00-12:20pm L-201
Spring 2010	1902	ESL-072	Zink	MW 12:30-2:20pm LC-110
Spring 2011	1902	ESL-072	Zink	MW 12:30-2:20pm LC-110 1/22-5/27
Spring 2009	1902	ESL-072	Zink	MW 12:30-2:20pm LC-110
Spring 2006	1902	ESL-072	Zink	MW 12:00-1:50pm LC-103
Spring 2005	1902	ESL-072	Zink	MW 12:00-1:50pm LC-103
Spring 2007	1902	ESL-072	Zink	MW 12:00-1:50pm LC-103
Spring 2009	1917	ESL-098A	Zink	MWW 9:30-10:45am LC-110
Spring 2009	1918	ESL-098A	Zink	MWM 9:30-10:45am LC-110
Spring 2011	1954	ENGL-116	Zink	TTH 9:30-10:45am LA-113 1/22-5/27
Spring 2006	1999	ENGL-122	Zink	TTH 9:30-10:45am LA-114
Spring 2007	1999	ENGL-122	Zink	TTH 9:30-10:45am LA-114
Spring 2007	2014	ENGL-122	Zink	TTH 12:30-1:45pm LA-114
Spring 2006	2014	ENGL-122	Zink	TTH 12:30-1:45pm LA-114
Spring 2005	2016	ENGL-122	Zink	TTH 12:30-1:45pm LA-117
Spring 2005	2026	ENGL-122	Zink	MW 2:00-3:15pm LA-211
Fall 2007	3307	ESL-098A	Zink	TTHT 9:30-10:45am LC-109 8/16-12/16
Fall 2007	3309	ESL-098A	Zink	TTHTH 9:30-10:45am LC-109 8/16-12/16
Fall 2007	3311	ESL-098A	Zink	MWM 9:00-10:15am LC-110 8/16-12/16
Fall 2008	3311	ESL-098A	Zink	MWM 9:30-10:45am LC-110
Fall 2009	3311	ESL-098A	Zink	MWM 9:30-10:45am LC-110
Fall 2009	3313	ESL-098A	Zink	MWW 9:30-10:45am LC-110
Fall 2007	3313	ESL-098A	Zink	MWW 9:00-10:15am LC-110 8/16-12/16
Fall 2008	3313	ESL-098A	Zink	MWW 9:30-10:45am LC-110
Spring 2010	3317	ENGL-151	Zink	TTH 9:30-10:45am H-105
Fall 2006	3326	ENGL-122	Zink	TTH 11:00-12:15pm LA-212
Fall 2011	3499	ENGL-116	Zink	MW 11:00-12:15pm L-201 8/17-12/17
Fall 2012	3499	ENGL-116	Zink	MW 11:00-12:15pm L-201 8/17-12/17
Spring 2006	3895	ENGL-118	Zink	MW 2:00-3:15pm LA-208A
Spring 2007	3895	ENGL-118	Zink	MW 2:00-3:15pm LA-208A
Fall 2004	4113	ENGL-126	Zink	TTH 11:00-12:15pm LA-114 8/19-12/19
Summer 2002	7345	ASSES-105	Zink	F 5:00-7:50pm TE-107 8/16-8/16
Fall 2006	8121	ENGL-118	Zink	TTH 5:30-6:45pm LC-109
Fall 2006	8142	ENGL-123	Zink	T 7:00-9:50pm LA-117
Fall 2008	8704	ESL-076	Zink	M 7:00-9:50pm LC-109
Fall 2013	8706	ESL-096A	Zink	M 7:00-9:50pm LC-101
Fall 2002	8725	ENGL-110	Zink	M 7:00-9:50pm LA-220
Fall 2018	8536	CONST-124	Zipay	W 06:30PM-09:40PM ET-120B
Spring 2018	8609	CONST-144	Zipay	TH 06:30PM-09:20PM ET-120B 1/20-5/25
Spring 2019	8609	CONST-144	Zipay	TH 06:30PM-09:40PM ET-120B 1/28-5/24
Spring 2005	1727	NUTRI-120	Ziraldo	TTH 12:30-1:45pm LHS-223
Fall 2005	1810	NUTRI-115	Ziraldo	TTH 2:00-3:15pm LHS-223
Fall 2005	2705	NUTRI-120	Ziraldo	TTH 12:30-1:45pm LHS-223
Summer 2006	3405	NUTRI-115	Ziraldo	MTWTHF 9:00-12:35pm LHS-223 5/30-6/16
Summer 2005	8321	NUTRI-160	Ziraldo	MW 5:00-9:15pm LHS-223 6/20-7/27
Spring 2004	8438	NUTRI-160	Ziraldo	M 7:00-9:50pm SC-501
Spring 2005	8438	NUTRI-160	Ziraldo	TH 6:00-8:50pm LHS-223
Fall 2003	8501	NUTRI-160	Ziraldo	M 7:00-9:50pm BFL-103
Fall 2005	8501	NUTRI-160	Ziraldo	TH 7:00-9:50pm LHS-223
Fall 2018	8508	CHEM-108	Ziraldo	MWMW 07:25PM-08:50PM PS-267
Spring 2018	8925	CHEM-108	Ziraldo	TTHT 07:00PM-08:20PM PS-275 1/20-5/25
Spring 2013	0985	HUMAN-115	Zupan	MW 12:30-1:45pm H-108
Spring 2012	0985	HUMAN-115	Zupan	MW 12:30-1:45pm H-108
Spring 2010	0986	HUMAN-115	Zupan	F 12:00-2:50pm H-108
Spring 2009	0986	HUMAN-115	Zupan	F 12:00-2:50pm H-108
Summer 2008	1008	HUMAN-112	Zupan	MTWTH 12:45-2:50pm H-106 6/16-7/24
Spring 2011	2307	HUMAN-115	Zupan	MW 2:00-4:50pm H-108 3/21-5/25
Fall 2011	2801	HUMAN-115	Zupan	MW 12:30-1:45pm H-109 8/17-12/17
Fall 2013	2801	HUMAN-115	Zupan	MW 12:30-1:50pm H-109
Fall 2010	2801	HUMAN-115	Zupan	MW 12:30-1:45pm H-107
Fall 2012	2801	HUMAN-115	Zupan	MW 12:30-1:45pm H-109 8/17-12/17
Fall 2009	2811	HUMAN-115	Zupan	TTH 8:00-9:15am H-108
Spring 2010	8019	HUMAN-105	Zupan	TTH 4:00-5:35pm H-106 2/09-5/27
Summer 2010	8045	HUMAN-105	Zupan	TTH 5:30-9:45pm H-106 6/15-7/22
Summer 2008	8328	HUMAN-115	Zupan	MW 6:15-9:50pm H-106 6/16-7/30
Summer 2009	8328	HUMAN-115	Zupan	MW 5:30-9:45pm H-106 6/22-7/29
Summer 2011	8328	HUMAN-115	Zupan	MW 5:30-9:45pm H-106 6/13-7/20
Spring 2011	8956	HUMAN-105	Zupan	MW 7:00-9:50pm H-106 3/21-5/25
Fall 2008	9003	HUMAN-105	Zupan	MW 12:30-1:45pm SRC-W217
Fall 2010	9726	HUMAN-112	Zupan	MW 9:30-10:45am SRV-W221
Spring 2009	9727	HUMAN-115	Zupan	TH 7:00-9:50pm SRC-W212
Fall 2002	1796	SOCSC-220	Zupanc-Ecimovic	TTH 11:00-12:15pm LA-122
Summer 2016	4875	ESL-067	Zuromski	MTWTH 9:30-12:20pm H-111 6/20-7/28
Summer 2017	4880	ESL-070	Zuromski	MTWTH 9:30-12:20pm BFL-112 6/19-7/27
Fall 2017	8404	ESL-085	Zuromski	TTH 7:00-8:50pm LC-110
Fall 2018	8404	ESL-085	Zuromski	TTH 07:00PM-09:05PM LC-110
Fall 2015	8701	ESL-072	Zuromski	TTH 7:00-8:50pm LC-110
Fall 2016	8701	ESL-072	Zuromski	TTH 7:00-8:50pm LC-110
Fall 2016	8702	ESL-078	Zuromski	W 7:00-9:50pm LC-109
Fall 2017	8702	ESL-078	Zuromski	W 7:00-9:50pm LC-109
Fall 2018	8702	ESL-078	Zuromski	WW 07:00PM-10:10PM LC-109
Fall 2015	8707	ESL-098A	Zuromski	W 7:00-9:50pm LC-101
Spring 2017	8725	ESL-072	Zuromski	TTH 7:00-8:50pm LC-110
Spring 2016	8725	ESL-072	Zuromski	TTH 7:00-8:50pm LC-110
Spring 2018	8737	ESL-085	Zuromski	TTHT 07:00PM-07:30PM LC-109 1/20-5/25
Spring 2019	8737	ESL-085	Zuromski	TTHTTH 07:00PM07:35PM-07:3 LCLC-109109 1/28-5/24
Spring 2017	8759	ESL-078	Zuromski	M 7:00-9:50pm LC-109
Spring 2016	8759	ESL-078	Zuromski	M 7:00-9:50pm LC-109
Spring 2019	8781	ESL-076	Zuromski	WW 07:00PM06:00PM-10:1 LCLC-109109 1/28-5/24
Spring 2018	8781	ESL-076	Zuromski	WW 07:00PM-09:50PM LC-109 1/20-5/25
Fall 2001	9014	CIS-050B	Zywicki	FSSUSSU 7:00-9:50pm SRV-204 9/28-9/30
Spring 2008	9016	CIS-052A	Zywicki	T 6:30-9:50pm SRC-E160 1/29-2/26
Spring 2009	9016	CIS-052A	Zywicki	T 6:30-9:50pm SRC-E160 1/27-2/24
Spring 2009	9110	CIS-052B	Zywicki	T 6:30-9:50pm SRC-E160 3/24-4/28
Spring 2008	9110	CIS-052B	Zywicki	T 6:30-9:50pm SRC-E160 3/25-4/22
Fall 2001	9118	CIS-051A	Zywicki	M 7:00-9:50pm SRV-204 8/20-9/24
Fall 2001	9133	CIS-051B	Zywicki	M 7:00-9:50pm SRV-204 10/1-11/5
Fall 2002	9133	CIS-051B	Zywicki	M 6:30-9:50pm SRV-204 9/30-10/28
Fall 2002	9138	CIS-051C	Zywicki	M 6:30-9:45pm SRV-204 11/04-12/09
Fall 2002	9141	CIS-052A	Zywicki	W 7:00-9:50pm SRV-204 8/21-9/25
Fall 2001	9142	CIS-052A	Zywicki	FSSUSSU 7:00-9:50pm SRV-212 9/14-9/16
Fall 2001	9155	CIS-052C	Zywicki	FSSUSSU 7:00-9:50pm SRV-212 11/16-11/18
Fall 2001	9163	CIS-053A	Zywicki	W 7:00-9:50pm SRV-203 10/3-11/7
Fall 2001	9167	CIS-053A	Zywicki	FSSUSSU 7:00-9:50pm SRV-212 10/26-10/28
Fall 2001	9218	CIS-055C	Zywicki	FSSUSSU 7:00-9:50pm SRV-109 11/30-12/2
